address,eth_balance
0xa7e4fecddc20d83f36971b67e13f1abc98dfcfa6,172038067219632650113924
0x9e927c02c9eadae63f5efb0dd818943c7262fb8e,171990943415084637035969
0x5b5b69f4e0add2df5d2176d7dbd20b4897bc7ec4,169031993583689244731529
0x7da82c7ab4771ff031b66538d2fb9b0b047f6cf9,165034343113247593314478
0xe523fc253bcdea8373e030ee66e00c6864776d70,157039697809135738323276
0x267be1c1d684f78cb4f6a176c4911b741e4ffdc0,153819448005674181421346
0x203520f4ec42ea39b03f62b20e20cf17db5fdfa7,152695839632285612537384
0xfd898a0f677e97a9031654fc79a27cb5e31da34a,150000100082817724876672
0xfe01a216234f79cfc3bea7513e457c6a9e50250d,150000004072667948493052
0xb8cda067fabedd1bb6c11c626862d7255a2414fe,150000001287583860306862
0x77afe94859163abf0b90725d69e904ea91446c7b,150000001158040443993270
0x701c484bfb40ac628afa487b6082f084b14af0bd,150000001076228201551172
0x4b4a011c420b91260a272afd91e54accdafdfc1d,150000001007228201551172
0xc4cf565a5d25ee2803c9b8e91fc3d7c62e79fe69,150000000686128201551172
0xb20411c403687d1036e05c8a7310a0f218429503,150000000155010676884988
0x9a1ed80ebc9936cee2d3db944ee6bd8d407e7f9f,150000000092953983698009
0x7ae92148e79d60a0749fd6de374c8e81dfddf792,150000000082748342716786
0xba18ded5e0d604a86428282964ae0bb249ceb9d0,150000000061491797140234
0xd05e6bf1a00b5b4c9df909309f19e29af792422b,150000000058240500463392
0x19d599012788b991ff542f31208bab21ea38403e,150000000022240500463392
0xeb2b00042ce4522ce2d1aacee6f312d26c4eb9d6,150000000007302788204536
0xca582d9655a50e6512045740deb0de3a7ee5281f,150000000007302788204536
0x0f00294c6e4c30d9ffc0557fec6c586e6f8c3935,150000000007302788204536
0x0c05ec4db907cfb91b2a1a29e7b86688b7568a6d,150000000007255209240234
0xe04cf52e9fafa3d9bf14c407afff94165ef835f7,150000000007255209240234
0xb9fa6e54025b4f0829d8e1b42e8b846914659632,150000000007255209240234
0x9c2fc4fc75fa2d7eb5ba9147fa7430756654faa9,150000000007240500464304
0x8d95842b0bca501446683be598e12f1c616770c1,143011657534998710718845
0x35aeed3aa9657abf8b847038bb591b51e1e4c69f,141871703298847076187413
0xc882b111a75c0c657fc507c04fbfcd2cc984f071,140860087601832981753615
0xb93d8596ac840816bd366dc0561e8140afd0d1cb,139701329259826219581029
0x3262f13a39efaca789ae58390441c9ed76bc658a,138498041651999998804000
0xb5ab08d153218c1a6a5318b14eeb92df0fb168d6,135283676793284934528286
0xdb3c617cdd2fbf0bb4309c325f47678e37f096d9,135188026185242931499803
0x7ead3a4361bd26a20deb89c9470be368ee9cb6f1,132432537838805993685685
0xd5268a476aadd1a6729df5b3e5e8f2c1004139af,130876361028221992139847
0xd6216fc19db775df9774a6e33526131da7d19a2c,129805184195468220644648
0xd47b4a4c6207b1ee0eb1dd4e5c46a19b50fec00b,129392271325790918625800
0x595faf77e533a5cd30ab5859c9a0116de8bad8db,129392171335790918625800
0xd65fb7d4cb595833e84c3c094bd4779bab0d4c62,129392171328790918625800
0x1bd3fc5ac794e7af8e834a8a4d25b08acd9266ce,129392171325790918625800
0xf481b7fab9f5d0e74f21ae595a749634fb053619,129231422134920508906882
0xac6c9a65d698cf22c5127ec93231794860aca3ac,128683487311032029621101
0xf203f6ce087e91c88881d0390f54c3dcb30fcd76,127637695685899715686216
0x79f67f689b9925710d4dda2a39d680e9cea61c81,121198181942769801205445
0x3c68e2be148cfa3da533d7bbceb4973deebc0df3,120874385073767367362701
0x2d1566722288be5525b548a642c98b546f116aa0,120707710798831556416400
0xb4f4317b7885de16305d1303570879c21f378255,120707710788831556416400
0x84bf16e7675cee22d0e0302913ccf58b45333ddf,120707710788831556416400
0xf443864ba5d5361bbc54298551067194f980a635,120707710788831556416400
0x6d9d2b30df394f17a5058aceb9a4d3446f1bc042,120707710788831556416400
0x368d43c23843ca9b49dc861d80251bda6a090367,120707710788831556416400
0x7d6149ad9a573a6e2ca6ebf7d4897c1b766841b4,120547610910789908279356
0x0548f59fee79f8832c299e01dca5c76f034f558e,117410333117744422077980
0xa1a45e91164cdab8fa596809a9b24f8d4fdbe0f3,116005513429574771433437
0x376c3e5547c68bc26240d8dcc6729fff665a4448,114939000010007777777777
0x1db92e2eebc8e0c075a02bea49a2935bcd2dfcf4,114346665535368815745861
0x1b8766d041567eed306940c587e21c06ab968663,111377314240356998522230
0xd9858d573a26bca124282afa21ca4f4a06eff98a,110179669481490000000000
